coas_codigo,coas_municipio,coas_anio,coas_cobertura,coas_tipo_poblacion,coas_num_personas
580,41551,2014,,2,9499
581,41615,2014,,2,889
582,41660,2014,,2,717
583,41668,2014,,2,1448
584,41676,2014,,2,560
585,41770,2014,,2,2180
586,41791,2014,,2,1002
587,41799,2014,,2,464
588,41801,2014,,2,322
589,41797,2014,,2,470
590,41807,2014,,2,684
591,41872,2014,,2,194
592,41885,2014,,2,221
593,41006,2014,,3,8
594,41013,2014,,3,5
595,41016,2014,,3,0
596,41020,2014,,3,7
597,41026,2014,,3,0
598,41078,2014,,3,1
599,41132,2014,,3,8
600,41206,2014,,3,2
601,41244,2014,,3,1
602,41298,2014,,3,106
603,41306,2014,,3,2
604,41319,2014,,3,1
605,41349,2014,,3,3
606,41357,2014,,3,0
607,41359,2014,,3,1
608,41378,2014,,3,1
609,41396,2014,,3,44
610,41483,2014,,3,2
611,41001,2014,,3,520
612,41503,2014,,3,0
613,41518,2014,,3,0
614,41524,2014,,3,3
615,41530,2014,,3,3
616,41548,2014,,3,1
617,41551,2014,,3,70
618,41615,2014,,3,1
619,41660,2014,,3,0
620,41668,2014,,3,0
621,41676,2014,,3,3
622,41770,2014,,3,4
623,41791,2014,,3,0
624,41799,2014,,3,1
625,41801,2014,,3,0
626,41797,2014,,3,0
627,41807,2014,,3,2
628,41872,2014,,3,1
629,41885,2014,,3,0
630,41006,2014,,4,2
631,41013,2014,,4,0
632,41016,2014,,4,0
633,41020,2014,,4,5
634,41026,2014,,4,0
635,41078,2014,,4,0
636,41132,2014,,4,5
637,41206,2014,,4,0
638,41244,2014,,4,0
639,41298,2014,,4,12
640,41306,2014,,4,1
641,41319,2014,,4,1
642,41349,2014,,4,1
643,41357,2014,,4,3
644,41359,2014,,4,0
645,41378,2014,,4,4
646,41396,2014,,4,4
647,41483,2014,,4,1
648,41001,2014,,4,32
649,41503,2014,,4,3
650,41518,2014,,4,0
651,41524,2014,,4,19
652,41530,2014,,4,3
653,41548,2014,,4,0
654,41551,2014,,4,17
655,41615,2014,,4,0
656,41660,2014,,4,2
657,41668,2014,,4,0
658,41676,2014,,4,1
659,41770,2014,,4,0
660,41791,2014,,4,3
661,41799,2014,,4,0
662,41801,2014,,4,3
663,41797,2014,,4,0
664,41807,2014,,4,10
665,41872,2014,,4,0
